age,gender,tenure_months,monthly_charges,total_charges,phone_service,paperless_billing,senior_citizen,charges_per_month,estimated_clv,total_services,internet_score,contract_stability,auto_payment,risk_score,charges_tenure_ratio,charges_per_service,total_charges_log,tenure_months_log,contract_type_month_to_month,contract_type_one_year,contract_type_two_year,payment_method_bank_transfer,payment_method_credit_card,payment_method_electronic_check,payment_method_mailed_check,internet_service_dsl,internet_service_fiber_optic,internet_service_no,multiple_lines_no,multiple_lines_no_phone_service,multiple_lines_yes,online_security_no,online_security_no_internet_service,online_security_yes,online_backup_no,online_backup_no_internet_service,online_backup_yes,device_protection_no,device_protection_no_internet_service,device_protection_yes,tech_support_no,tech_support_no_internet_service,tech_support_yes,streaming_tv_no,streaming_tv_no_internet_service,streaming_tv_yes,streaming_movies_no,streaming_movies_no_internet_service,streaming_movies_yes,age_group_under_25,age_group_25_34,age_group_35_44,age_group_45_54,age_group_55_64,age_group_over_65,loyalty_segment_new,loyalty_segment_growing,loyalty_segment_established,loyalty_segment_loyal,loyalty_segment_champion,risk_level_low,risk_level_medium,risk_level_high,risk_level_critical,churn
-0.9138440573694188,0.9428090415820632,-0.7396640784998599,1.2470051371443847,-0.48731385801460075,0.4255737125609785,0.5815268532795475,2.23300801304536,0.5752905442307167,-0.5537317631782276,0.4951379920036779,-0.03520942082538211,-0.8184301519093614,1.0063019815944512,1.2689203434263605,0.1434420478421,-0.020753210938899,-0.12784721853387415,-0.5252016138954021,True,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False,True,True,False,False,True,False,False,False,False,True,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,1
0.6463425432681069,-1.0606601717798212,-1.0270764061455198,0.38624355526889753,-0.8180285035595292,0.4255737125609785,0.5815268532795475,-0.44782642702486647,-0.21628574824815242,-0.9241314712916417,0.4951379920036779,-1.8222150980788423,-0.8184301519093614,1.0063019815944512,1.2689203434263605,1.8511651016758193,-0.3236316376248998,-1.5682183416024424,-1.769709229220746,True,False,False,False,True,False,False,False,False,True,False,True,False,True,False,False,False,False,True,True,False,False,True,False,False,False,False,True,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,1
-1.1173466574525743,-1.0606601717798212,-0.30854558703137014,0.4407703172684171,-0.1792133601027446,0.4255737125609785,-1.7196110452345486,-0.44782642702486647,0.22666675768642577,-0.18694804206806837,0.4951379920036779,0.858293417801348,-0.8184301519093614,1.0063019815944512,-0.0721869578197882,-0.325706432545793,-0.30444516342061145,0.3265365175377483,0.15138985021105256,True,False,False,True,False,False,False,False,True,False,False,False,True,False,True,False,False,False,True,True,False,False,True,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,1
-1.5243518576188853,0.9428090415820632,-1.0270764061455198,-0.8262756167560548,-0.8524172383816612,0.4255737125609785,0.5815268532795475,2.23300801304536,-0.9756358965789182,-0.9402645449854679,0.4951379920036779,0.858293417801348,0.4605267387584582,1.0063019815944512,-0.0721869578197882,1.0266746044128578,-0.7502839265773751,-2.1885138114929252,-1.769709229220746,False,True,False,False,True,False,False,False,True,False,False,False,True,False,False,True,False,True,False,True,False,False,True,False,False,False,True,False,False,False,True,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,1
0.3071715431295144,-1.0606601717798212,0.6494955051208294,-0.3273211092705859,0.24183199120590218,0.4255737125609785,0.5815268532795475,-0.44782642702486647,-0.2554964432489757,0.4270838885565819,-0.3113611931111502,-1.8222150980788423,-0.8184301519093614,1.0063019815944512,-0.7427406084428626,-0.5135020821081769,-0.2320004923127476,0.6959663149840076,0.8490152458441327,True,False,False,True,False,False,False,False,False,True,False,False,True,False,True,False,True,False,False,False,True,False,True,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,0
1.5281871436284475,-1.0606601717798212,-0.4043496962465901,-0.057695111923586444,-0.2939835273638857,0.4255737125609785,0.5815268532795475,-0.44782642702486647,0.13165947544614098,-0.37799450080839314,-1.1178603782259782,-0.03520942082538211,-0.8184301519093614,1.0063019815944512,-0.7427406084428626,-0.3315403076515551,0.6431775321799438,0.18616809055356726,0.03920888206904972,True,False,False,True,False,False,False,True,False,False,True,False,False,False,True,False,False,False,True,False,True,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,1
-0.4390046571753892,-1.0606601717798212,-1.0749784607531299,-1.5610712567442484,-0.8226806562748195,0.4255737125609785,0.5815268532795475,-0.44782642702486647,0.9570375294195809,-0.9725031651565968,-1.9243595633408064,-1.8222150980788423,-0.8184301519093614,-0.993737484661944,1.2689203434263605,1.674954051959625,0.7732280216412284,-1.6285083423539328,-2.391963036883418,True,False,False,False,False,False,True,False,False,True,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,1
-1.6600202576743224,0.9428090415820632,0.07467084982950967,-0.5308225523798501,-0.3188894239075675,0.4255737125609785,0.5815268532795475,-0.44782642702486647,-0.6030250241477456,-0.10442924877577187,1.301637177118506,-1.8222150980788423,0.4605267387584582,-0.993737484661944,-0.7427406084428626,-0.4730214517680093,-0.8376297728782108,0.15209010687805138,0.49669689277315504,False,True,False,False,False,False,True,False,False,True,False,False,True,True,False,False,False,True,False,False,False,True,False,False,True,False,False,True,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,0
-1.5921860576466038,-1.0606601717798212,-0.4522517508542001,-0.3394669934899518,-0.5444386066176209,-2.349769195052702,-1.7196110452345486,2.23300801304536,-0.5350589390221017,-0.46919760786409415,-1.9243595633408064,-0.03520942082538211,1.7394836294262777,1.0063019815944512,-2.0838479096890112,-0.33824316448920155,2.4926243565993764,-0.2510716991581209,-0.02389291251082688,False,False,True,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,True,False,False,True,False,True,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,0
-0.16766785706451517,0.9428090415820632,0.8411037235512693,-0.92864815026591,0.19819447602442494,-2.349769195052702,0.5815268532795475,-0.44782642702486647,-0.4331893899147798,0.2625572701274933,-1.9243595633408064,0.858293417801348,1.7394836294262777,1.0063019815944512,-2.0838479096890112,-0.5439258009176142,1.6633575047562892,0.6648075663753122,0.94016228245951,False,False,True,False,True,False,False,False,True,False,True,False,False,False,True,False,False,True,False,False,True,False,False,True,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,0
